review,sentiment,score
Fiyat performans olarak memnun kaldım gayet rahat bir ayakkabı,positive,0.8475664854049683
Ürün marka değeri olarak hakkını veriyor.,positive,0.8042358756065369
"Fotoğraftaki ürün mat gayet şık görünüyor ama gelen ürün pas pas parlıyor çok kötü hoşuma gitmedi. Benim gibi ayağı pençeli olanlar 2 numara büyük almalı .42 giyiyorum normalde, yorumlara bakarak 43 aldım ama dar oldu. İade edeceğim.",negative,0.9941207766532898
Ayakkabı tam bir fiyat performans ürünü rahatlıkla alınıp giyebilirsiniz .,positive,0.9437573552131653
Ürün çok güzel. Sadece kalıbı çok küçük. Normalde 42 gitmeme rağmen 42.5 sipariş ettim ancak ayağıma dar geldi. Bir numara büyük almak yerinde olabilir,neutral,0.6247307658195496
"ürün orijinal olduğunu düşünsem de çok iyi değil orta seviyenormalde klasik olsun günlük ayakkabılarda 41 giyerim 1 numara büyük olsun diye aldığım 42 boydan tam geldi ki bu spor ayakkabı için sonradan önden tırnağa vurma yapıyor o yüzden 1 numara büyük bile kurtarmadı 42,5 veya 43 olmalıydı",negative,0.7286019921302795
Güzel,neutral,0.9679581522941589
"KALİTELİ BİR ÜRÜN, YARIM NUMARA BÜYÜK OLSA DAHA İYİ OLURDU, BAŞ PARMAK UCA DEYİYOR.",negative,0.6623897552490234
الحذاء من اريح الاحذيه الي جربتها اريح من سكيتشرز واديداس ونايك جدا مريح ومريح من مناطق الاصابع,positive,0.9811103343963623
Shoes comfortable and good for a very basic trainer!,positive,0.9725937247276306
Scarpe veramente ottime e comodissime….ad un prezzo basso!,positive,0.9931633472442627
Very supportive and comfortable with good heel cushioning.,positive,0.9953699707984924
I had a knee injury which left my knees super sensitive and I couldn’t wear most of my shoes because they were too hard on my foot except for Under Armour it was the only shoes that enabled me from going to my exams without pain or discomfort.Very much recommend,positive,0.9952720999717712
Ayakkabı çok güzel çok rahat ayak numaranız neyse onu alın çok sağlam ayakta çok şık duruyor,positive,0.9837396740913391
Bu ürünü çok beğendim kulanıyorum çokta rahat bir ayakabı,positive,0.9313190579414368
rahat ve gayet kaliteli hızlı kargo kesinlikle bir numara büyük alın kalıpları dar,positive,0.968065083026886
Ürün güzel ancak kalıpları biraz dar 1numara büyük alınabilir. Ben bu yüzden numara değişimi yapmak zorunda kaldım,neutral,0.9484017491340637
Fiyat ve performans olarak memnun kaldım ikincisini de alacağım kendimi durduruyorum.,positive,0.554406464099884
Ürün harika ama kalıp dar bi beden büyük alabilirsiniz,negative,0.9046004414558411
1 numara buyuk alin,positive,0.9565656185150146
siyah - gri - lacivert renklerini aldım. uygun fiyat - ua kalitesi ve rahatlığı. kalıp küçük olduğundan kendi ayak numaranızdan büyük almanız gerekmekte.,positive,0.9634562134742737
"Al di là del fatto che sono uno sportivo da sempre, devo ammettere che ho una passione sfegatata per le scarpe da ginnastica. Ne compro in continuazione, non riesco a smettere. Ne ho circa 30 paia dei miei marchi prediletti, che non son pochi. Naturalmente, Under Armour figura nella lista ed anche fra le prime posizioni per preferenza. Non sono fra le scarpe più ""tecniche"" ma sono sicuramente fra le più belle e confortevoli che si possano trovare sul mercato.Queste UA Charged Assert 10 sono bellissime e ben studiate. La calzata è ottima, la scarpa fascia bene e la suola, secondo me, ha la giusta consistenza per supportare una buona corsa offrendo ammortizzazione e rimbalzo ma senza cedere sotto il peso del passo. Per intenderci, la suola è in espanso, non tipo memory: non è di quelle che danno la sensazione di camminare sulle uova sode tipo Skechers o come svariate Nike. Quelle ultra-morbide, stile pantofola, van bene per pochi passi, un volo in aereo magari ma non si può andarci a correre o camminarci sopra per turismo un'intera giornata, non senza poi avere male ai piedi. Per correre ci vuole una suola come quella di queste Under Armour: non rigida ma reattiva e sostenuta e, la tomaia, non può essere un calzino. Anche quella deve offrire un po' di struttura su tutti i lati. Questa è una scarpa studiata da corsa e presenta i giusti contenuti tecnici.Se poi non è la prestazione sportiva ad interessarvi e state valutando questa scarpa come sneaker da jeans, beh, secondo me siete comunque nel posto giusto perché a livello estetico, queste scarpe, non hanno nulla da invidiare ad Adidas, Puma, Nike e compagnia bella.Per quanto riguarda i numeri, posso dirvi che io ho generalmente un 42 e, da sempre, su Under Armour acquisto il 42,5 con successo.Ciao!",positive,0.9959860444068909
Muy comodas,positive,0.8898873925209045
"Ao fim de 3 ou 4 km a correr, o aquecimento provocado pelas solas é difícil de suportar.",negative,0.6630858778953552
Cómodas y muy bonitas. Talla perfecta,positive,0.9865555763244629
Die Ware erfüllt die Erwartung vollständig,positive,0.9258262515068054
Indirimden aldık tabanı harika ve rahat tam kalıp,positive,0.9637231826782227
Ayakkabı çok şıkKalıp dar 1 numara büyük almanız önerilirHafif olması sağlamlık bakımından güven vermesi ayağınıza yük bindirmemesi çok iyi,negative,0.9580245018005371
Çok güzel rahat ve orijinal hemde çok iyi fiyata.,positive,0.9802543520927429
Kendi numaranızı alabilirsiniz. Nike 43 giyiyordum 43 aldım tam oldu. Aşırı rahat.,positive,0.9770978689193726
"Gayet şık, yüksek taban, taban kısmı ekstra rahat ve tabi ki en uygun fiyat Amazon'da 👏👏",positive,0.9921030402183533
Tabanı çok rahat. Koşu spor ve yürüyüş için ideal. Şık görünüyor. İlk başta kaba gibi geldi ama öyle değilmiş. Severek giyiyorum.,positive,0.9869195818901062
"Arka bilek kısmı 20 kullanımda kırıldı , plastik topuk arkasına batacak şekilde dışarı çıktı",negative,0.9402574300765991
Kampanyalı yakalayınca kaçırmadım. Yüksek taban güzel,positive,0.860784113407135
履きやすくデザインも良いです,positive,0.911316454410553
Cok beğendim,neutral,0.5635111331939697
Ürünü çok beğenince aynı ürünün büyük boyunu da aldım. Malzeme kalitesi güzel. Her araç bagajında bulunması gereken bir ürün.,positive,0.9778701066970825
Boyut olarak ölçülere bakıp almalıydım ama içerisine 1 L kola şişesi zor sığıyor yatay olarak. Belki boyut için fikir olur.,neutral,0.7814156413078308
Ürün güzelFirma siparişten sonra hemen kargoya verdiFakat aras kargo üç günde teslim etti,neutral,0.8336066007614136
Ürün küçükmüş. Ayrıca iç içe geçmiş malzemeden. Henüz denemedim. Ama soğuk tutacağından şüpheliyim. O ki içecekleri elinizde tutmanızdan kurtarır. O da birkaç küçük su.,neutral,0.9590497612953186
"Ürün çok ufak, bu kadar ufak gelecegini tahmin etmiyordum ama çok beğendim. Tam arabada seyahat ederken kullanmalı türden. Benim aracın kol dayam kisminada tam uydu hem kol dayama hem buzluk olarak kullanıyorum. Düşünenlere tavsiye ederim.ama ufak olduğunu bilerek alın.",positive,0.9795595407485962
Küçük tek kişi kullanıma uygundur,positive,0.7279934883117676
İşim gereği sıcakta arabayla dolaştığım için içeceklerimi soğuk tutacak bir ürüne ihtiyacım vardı. Bu ürün işimi baya gördü. Buz kasetleriyle beraber 2 kişinin günlük ihtiyacını alacak kapasitede. En fazla 500 ml lik ürünleri koyabilirsiniz daha büyüklerini almaz.,positive,0.9923241138458252
İndirimli olduğunda spigen ürünlerini kaçırmam,positive,0.7816174626350403
