review,sentiment,score,language
bekledigimden büyük geldi amabi sorunu yok,neutral,0.5870210528373718,tr
Ürün özellikleri anlatıldığı gibi problemsiz olarak geldiği teşekkürler,positive,0.8311495780944824,tr
ürün işe yarar eşit ağırlıkta fakat sadece benimkimi bilmiyorum uç kısmını tam oturtamamışlar hallolur ama iş görür bu fiyata,neutral,0.9304205179214478,tr
"Dambılların paketlemesi güzeldi. Gelir elmez elime aldığımda biri daha hafif geldi. Tartığımda bir ürün 4,5 kg diğeri 5,5 kg geldi. Ben de iade ettim.",negative,0.9725826382637024,tr
çok teşekkür ederiz,positive,0.817733883857727,tr
Paketleme Müthiş.Şöyle diyim pakete zarar gelse dumballdan öyle bi sağlamlık.Tartıda tarttım ikiside tam 5 kilo sorun yok.1Günde geldi çok iyi,positive,0.9954097867012024,tr
Görselde göründüğü gibi,neutral,0.860383927822113,tr
Ağırlık farkı var. Onun dışında sorun yok.,neutral,0.95441335439682,tr
Ayakkabının tarak kısmı biraz dar. sipariş verecek olanlar yarım numara büyük sipariş verebilirler...,neutral,0.5630971193313599,tr
Harika bir ürün indirimde denk geldi teşekkürler Amazon,positive,0.9854621887207032,tr
Güzel ayakkabı fakat numarası uymuyor. 41 aldım olmadı 42 anca olur. İade etmek istemiyorum değiştirmek istiyorum ama öyle bşr seçenekte yok galiba. Aldıktan sonra fiyatı değişti. Numara değişim imkanı olursa hoş olur.,neutral,0.6455856561660767,tr
Orijinal kesinlikle ama yorumları dikkate alın bir beden büyük sipariş verin,neutral,0.5118266940116882,tr
Ürün kutusu sanki harabeden çıkmış gibiydi yırtık pırtık hele kutunun üstü tozdan pislikten gözükmüyor du... ALLAHDAN FARELER AYAKKABIYI YEMEMİŞ. KESİNLİKLE TAVSİYE ETMİYORUM ..,negative,0.9950619339942932,tr
"Çok rahat bir ayakkabı, normal bedeninizden 1 beden büyük alın kalıbı biraz dar",negative,0.9934775829315186,tr
Bu fiyat bandında daha kalitelisi olamaz.,positive,0.7596883773803711,tr
En az 1 numara büyük alın,negative,0.6998704671859741,tr
"Al di là del fatto che sono uno sportivo da sempre, devo ammettere che ho una passione sfegatata per le scarpe da ginnastica. Ne compro in continuazione, non riesco a smettere. Ne ho circa 30 paia dei miei marchi prediletti, che non son pochi. Naturalmente, Under Armour figura nella lista ed anche fra le prime posizioni per preferenza. Non sono fra le scarpe più ""tecniche"" ma sono sicuramente fra le più belle e confortevoli che si possano trovare sul mercato.Queste UA Charged Assert 10 sono bellissime e ben studiate. La calzata è ottima, la scarpa fascia bene e la suola, secondo me, ha la giusta consistenza per supportare una buona corsa offrendo ammortizzazione e rimbalzo ma senza cedere sotto il peso del passo. Per intenderci, la suola è in espanso, non tipo memory: non è di quelle che danno la sensazione di camminare sulle uova sode tipo Skechers o come svariate Nike. Quelle ultra-morbide, stile pantofola, van bene per pochi passi, un volo in aereo magari ma non si può andarci a correre o camminarci sopra per turismo un'intera giornata, non senza poi avere male ai piedi. Per correre ci vuole una suola come quella di queste Under Armour: non rigida ma reattiva e sostenuta e, la tomaia, non può essere un calzino. Anche quella deve offrire un po' di struttura su tutti i lati. Questa è una scarpa studiata da corsa e presenta i giusti contenuti tecnici.Se poi non è la prestazione sportiva ad interessarvi e state valutando questa scarpa come sneaker da jeans, beh, secondo me siete comunque nel posto giusto perché a livello estetico, queste scarpe, non hanno nulla da invidiare ad Adidas, Puma, Nike e compagnia bella.Per quanto riguarda i numeri, posso dirvi che io ho generalmente un 42 e, da sempre, su Under Armour acquisto il 42,5 con successo.Ciao!",positive,0.9977734684944152,it
Muy comodas,positive,0.866936206817627,es
"these trainers are so comfortable, I'm a 9.5 size and they are true to size, great style and very lightweight matterial , only just started wearing them so can't rate durability yet but the build quality for price and I got a bargain at just under £50 I have sciatica in my left leg and foot and plantar fasciitis in my right side heel and I thought I'd try this brand as I like there clothing and I'm glad I did as the heels on these trainers are alot softer than my normal Karimoor trainers so it's helping me with walking as I have differeculty. anyhow they are very comfortable and I'm sure il get 2 seasons out of them.",positive,0.9943621158599854,en
Die Ware erfüllt die Erwartung vollständig,positive,0.9558886289596558,de
These are really nice shoes.,positive,0.9134661555290222,en
Teslimat hızı ve paketleme mükemmel.Ürün çok kullanışlı. Boyut ve sıcak tutma özelliği çok iyi.,positive,0.9907705783843994,tr
Termos gibi düşünmeyin sıcaklıgı muhafaza etmiyor ama iyi bi mug gibi düşünün,neutral,0.9426189064979552,tr
Gayet memnun kaldım.İlk defa 350 cc. aldım.. ve çok memnun kaldım ...Günlük kullanımda çok daha pratik ...,positive,0.9942532181739808,tr
Yorumsuz,neutral,0.5882465839385986,lv
vaat edilen sıcak soğuk tutma sürelerini karşılamıyor. kapağı açmak kapatmak pratik değil. görüntüsü güzel. genel olarak kullanılabilir.,neutral,0.9763656854629515,tr
Genelde ayak numaram 43 fakat Under Armour UA Charged Surge 4 modeli spor ayakkabıda 44 tam oldu. Alırken göz önünde bulundurmanızı tavsiye ederim. Amazon.com.tr ye teşekkür ediyorum bir gün içinde kargom gayet iyi bir şekilde elimdeydi. Teslimat süresi ve çözüm odaklı personellerine teşekkür ederim.,positive,0.9780026078224182,tr
Bu zamana kadar giydiğim en rahat ayakkabı. Bu fiyata bu rahatlık çok iyi,positive,0.9973996877670288,tr
Ayakkabı gerçekten çok rahat. Kaliteli görünüyor. Umarım uzun ömürlü olur. Fiyatı muadillerine göre uygundu. Numaranızın bir büyüğünü almanızı tavsiye ederim. Kalıpları küçük sanırım.,positive,0.974149763584137,tr
Bedenler küçük tabağını da birazcık sert,neutral,0.9535714387893676,tr
Normalde 42 beden giyiyorum 43 aldım tam oldu,negative,0.960241675376892,tr
fiyatına göre çok iyi gayet şık ve rahat,positive,0.9410446882247924,tr
Ürün tabanı beklediğimden sertti. Ayrıca ayakkabı kalıbı küçük. Kargolama çok özensiz baştan savma.,negative,0.5890851616859436,tr
Ayak numaram 42. Yorumları okuyarak (kalıbının dar olması) 1 beden büyük 43 no aldım.Yine olmadı. 2 beden küçük kalıp bir ayakkabı.44 sipariş ettim tam oldu.,negative,0.9959805011749268,tr
Fantastic quality great value for money,positive,0.9875340461730956,en
My kid says it's alright but annoys the top of his heels aka Achilles tendon area .,negative,0.6903215646743774,en
انيقه وجميله ومريحه والوانها متناسقه وتناسب كل لبساخذتها مع خصم الاهليبهذا الفخامه وبهذا السعر تعتبر صيده واللهانصحكم فيها وخذو نفس مقاسكم ..,positive,0.989170491695404,ar
Great trainer for the price. Very light and comfortable for both walking and jogging .,positive,0.995492458343506,en
The shoes were too small so i gave them to my child. The shoes look nice but you have to buy 2 sizes bigger than you would normally buy if you want them to fit,negative,0.5740059018135071,en
Kalıpları dar. Taraklı ayaklariniz varsa 1 numara büyük alın. Acayip havalı bir model.,negative,0.9928652048110962,tr
"Nike air270 ayarinda Gayet şık ve tam numara standardinda. Piyasadaki malum magazalarda bile 3k nin altinda duzgun bir ayakkabi yok, fiyat performans acisindan gayet basarili bir urun. Adeta ayaginizda yokmus gibi.",positive,0.9974491000175476,tr
Ayakkabi güzel şık rahat ama her ayağa uygun değil. Küçük bi ayaginiz olmasi gerek. Aksi taktirde 1 2 numara üstü almanız laizm ve bağcıkların yanından ayaginiz/çorabiniz gözüküyor. Kalin ayaklilar almasın kesinlikle,neutral,0.6269011497497559,tr
Yarım numara büyük alın onun dışında çok kaliteli ürün ve hızlı kargo.,positive,0.5495691299438477,tr
Kalıpları Türkiye’dekilere göre 1 beden daha küçük ona göre satın alabilirler onun dışında çok güzel,negative,0.9960263967514038,tr
"Ayak numarası 42.42,5 aldík tam oldu.Görüntüsü çok gúzel,tabanı çok rahat.Ayağı gúzel kavrıyor",positive,0.9770103693008424,tr
Her yönüyle çok harika bir ayakkabı ve çoksa rahat iy sayıyor ayağınızı ve tabanı da çok rahat.,positive,0.9971287846565248,tr
Çok sentetik ve nefes alacak bir tarzda değil. Sıcak havada mantar yapma garantisi var.,neutral,0.9624982476234436,tr
今まで買ったアンダーアーマーの靴の中で1番フィットして履きやすく思いました。つま先が上がってるので足が運びやすいです。汚れも目立たない。真っ黒ではなく、ストライプにシルバーがはいってるので、見た目も重くならず、1日仕事で動き回っても足の疲れは無く、私はとても満足な一足です。,positive,0.997561812400818,ja
Justo como en la imagen y talla correcta ... se sienten muy ligeros,positive,0.9937783479690552,es
Not original one.,neutral,0.7394835948944092,en
サイズは通常通り 軽くて履きやすい,positive,0.8174197673797607,ja
"Se han convertido en un imprescindible en mi rutina del gimnasio, estas zapatillas son muy comodas, flexibles y ligeras y después de varios meses de uso estan como el primer día. Una muy buena compra",positive,0.9971669316291808,es
Çok iyi yaylar öyle gıcır gıcır ses çıkarmıyor şiddeti ağırlığı iyi. Pc başında çalışan biri olarak gün içinde kullanıyorum.,positive,0.9476854205131532,tr
mükemmel bir fiyat/performans,positive,0.9215755462646484,tr
Fiyat performans ürünü işinizi çok iyi görür fakat içinde ki sayacı biraz yamuk ki şaşırmadım en azından görebiliyorum yani aşırı yamuk değil eğer maksimum 60 kg lik bir şey istiyorsanız bu zaten hayli hayli yeterli olur.,neutral,0.5313498973846436,tr
"Ofiste her gün 100er tane yapıyorum, kasların ağrımasından işe yaradığı belli oluyor. Boş durmaktan iyidir.",positive,0.9918445944786072,tr
Fotoğrafta gördüğüm ürünün ve bilgilendirmenin tam karşılığı..Uzun zamandır online alışverişte böyle bir şey yaşamadığım için extra memnun oldum ..Teşekkürler,positive,0.996183454990387,tr
"kullanmı çok sert ürünün iki bacağı dengeli değil yamuk şekilde, sıkmaya başladığınızda eliniz ağrıyor.",negative,0.9153240323066713,tr
İş görür gibi ancak görseldekinden farklı çok kaliteli durmuyor kullanıp tekrardan yorum yaparım,neutral,0.902460753917694,tr
Bu fiyata bu kalitede bir irin beklemiyordum açıkçası. Kargo süreci de çok hızlıydı. Teşekkürler.,positive,0.969719171524048,tr
"Das Produkt ist soweit gut verarbeitet und wirkt auch stabil. Der Widerstand lässt sich gut regulieren und individuell anpassen. Das Zählwerk ist ein nettes Gimmick, das bei mir auch gut funktioniert. Für meine mittelgroßen Hände passt es perfekt.Insbesondere für einen Preis von unter 10€ kann man hier also nicht meckern, ich bin sehr zufrieden.",positive,0.9955376386642456,de
"Medya yüklenemedi. La entrega fue muy buena y llegó a tiempo. El producto me sorprendió en cuanto lo abrí, era más de lo que esperaba. Perfecto para calentar y ejercitar antebrazos. Puedes ajustar la dificultad. Hasta tiene un contador para saber las repeticiones que vas haciendo. Lo volvería a comprar.",positive,0.9893296360969543,es
One thing I noted about this handgrip strengthening machine I would say is a completely amazing gadget so little thing to have that can actually strengthen your forearms and also your wrist movement as well and I found out that the reason being is because well you can actually change the settings of weight and it's very very accurate I would say I personally feel like he could do a little work with the grip because it does feel a bit tight and it's hard to grip on for too long but however the fact that it's got the clicking thing at the bottom as well to help you actually time it is fantastic and get yourself one of these very useful specially if you have one in each hand because then you're training both hands equally and that's why it's important to have a balanced hand section. overall things are fantastic product and I definitely recommend it for the price.,positive,0.9961283206939696,en
Super pratique,positive,0.896644115447998,fr
"È un attrezzo più da tempo libero che da palestra. Un ottimo esercizio che, a regolazione leggera, funge da antistress. Facile da regolare, il materiale delle rotelline non è il massimo, plastichetta fragile.. a meno che non cada o non subisca urti, non dovrebbero esserci problemi. La tensione della molla arriva a kg importanti perciò, chi lo desidera, può cimentarsi in un esercizio più impegnativo. Può essere utile per una sana riabilitazione e il recupero di mobilità di chi ha intorpidimento delle mani. Lo scatto del conta-strette non è silenzioso, non usatelo in biblioteca ;)",positive,0.9890331029891968,it
