text,label
"Всем здравствуйте. Заказывал помощь.\nОчень доволен точто зашёл именно на этот сайт. Работники вежливые всё внятно объяснили. Можно быстро дозвониться до рабочих.\nПлюсы: Качественноя работа, можно быстро дозвониться, приемлемые цены.\nМинусы: долго выявляют причину поломки. Ещё хочу сказать что пользуюсь сайтом не в первые всегда выевляют причину\nМне кажется сайт подойдёт абсолютно всем. Всем советую!!!",positive
Божественные чебуреки легендарная чебуречная и атмосфера и персонал)),positive
"Платье получила, качество отличное, сшито очень аккуратно, единственный минус оно мне не подошло, мало. Если вы выше 165 см, то вам не подойдёт, пояс слишком высокий под грудью. Мой рост 170 см. А так очень хорошее платье.",positive
"Оформила карту Камкомбанка быстро и удобно. Карта нужна для того, чтобы при оформлении кредита ставка была ниже. Обслужили в офисе на улице Гидростроителей, 21. В этом офисе, в отделе вкладов работают очень приветливые сотрудники, спасибо им за работу. А еще меня здесь проконсультировали как выгодно оформить вклад, обязательно вернусь в этот банк.",positive
"Катались на их снаряжении. Порадовала цена. Всё работает, всё катается. Адекватных клиентов и процветания.",positive
"Посылка не пришла. По трекер номеру вручена другому человеку. Продавец вернул деньги, за что 5 звезд",positive
"Приезжали несколько раз на дневное пребывание. Родителям нравится. Ухоженная территория, бассейны чистые, оборудование в бассейнах работает. Можно приезжать со своей едой, есть место, для приёма пищи, холодильник, чайники, хотя есть и кафе. Очень ждём открытия всех бассейнов. Тёплый вход в бассейны очень классная вещь а холодное время года.",positive
"Лучший образовательный центр в Нальчике. Тут можно получить не только блистательные знания и сдать благодаря самым лучшим учителям экзамены на желаемые баллы, но и обрести много хороших друзей. Атмосфера в центре максимсально комфортная, семейная. Сотрудники и учителя имеют особенный подход к каждому ученику, уделяют много внимания всем, не успуская никого. Преподаватели в центре замечательные, они дают максимум возможных знаний и помогают их усваивать. На занятиях можно не только получить полезную информацию, но и повеселиться. На уроках в логосе не бывает ощущения усталости или скуки, учителя стараются максмально завлечь учеников, придумывая разные методы изучения, также на занятиях мы очень много практикуемся. Чувства утомления не бывает, так как предусмотрены перерывы в аудитории для отдыха, там всегда есть чаёк, кофе, а также конфетки и печенье, всё сделано для удобства учеников. Ежемесяные пробные экзамены мне невероятно помогли. Я очень благодарна логосу за их систему обучения. Благодаря этим пробникам, я совершила всевозможные ошибки, в том числе глупые, на которых я многому научилась. Также нас учат правильному заполнению бланков, что очень важно. Всё это помогло мне чувствовать себя уверенней на реальном экзамене, не было чувства нервозности, так как мы уже ко всему привыкли. У центра также есть множество преимуществ для родителей. В логосе действует пропускная система, вы всегда будете знать, когда ваш ребенок зашёл и вышел из здания. Также каждый месяц, после проверки пробников, преподаватели пишут отчёты для родителей. Так они могут контролировать успеваемость своих детей и следить за их достижениями. Логос это самое подходящее место для подготовки к экзаменам, настоятельно рекомендую каждому",positive
"Ношу продолжительное время,после стирки появились катышки,но в целом не плохо",positive
"Добрый день! Пишу про Доктора, стоматолога-хирурга-имплантолога, врача от Бога и просто про прекрасного человека Малахова Романа Михайловича. Звучит пафосно, но я пишу со слезами на глазах, вспоминая тот ужас, который пришлось мне пережить и с благодарностью к доктору, который вылечил меня. Боюсь даже представить, что меня ожидало, если бы сестра не посоветовала его. \n\nПосле неудачного падения в августе 2022, получив шов на подбородке, гематомы на лице и проблемы с челюстью (при минимальном размыкания челюсти косточка упиралась в слуховой проход), я пришла на прием в поликлинику по месту жительства. Назначили КТ, врач посмотрел и сказал, что нужно разрабатывать челюсть на открытие, перелома нет. Но меня беспокоило, что косточка упирается в ухо. \n\nПо совету сестры, которой Роман Михайлович проводил имплантацию зубов (у нее операция прошла успешно, сейчас уже стоят прекрасные зубки), я пришла с результатом КТ на консультацию к Роману Михайловичу. Просмотрев КТ, он увидел и показал мне перелом мыщелкового отростка, благо без смещения, так как после травмы челюсть у меня не открывалась и я еще не стала её разрабатывать на раскрытие, как советовал мне хирург из поликлиники. Роман Михайлович проконсультировался со своими коллегами ЧЛХ и посоветовал консультацию-лечение в стационаре, так как требовалось шинирование челюстей на месяц. Я его спросила какие есть еще варианты, он сказал, так как нет смещения, то имеется возможность правильного срастание челюсти при постоянном ношении пращевидной повязки, неразмыкаем челюсти месяц, питаемся через трубочку, не говорим. Этот метод мне подошел)) Роман Михайлович научил меня накладывать пращевидную повязку, объяснил, как правильно вести гигиену полости рта, заботиться о зубах и деснах (зубы нельзя размыкать вообще), обрабатывать шов и гематомы. И так я стала наблюдаться у Романа Михайловича. Через 10 дней он снял швы. Благодаря его обработкам шва, наблюдениям за гематомами, рекомендациям всё прекрасно зажило. И сейчас шрам еле заметен. Через месяц он мне разрешил разрабатывать челюсть, потихоньку жевать, а еще через полмесяца Роман Михайлович разрешил мне уже полноценно жевать. Он прекрасный хирург с легкой рукой, замечательный человек, на все мои страхи и переживания я всегда могла связаться с врачом просто позвонив в клинику и Роман Михайлович всегда находил минуты, порой между приемами, чтобы осмотреть, обработать мои раны и развеять мои страхи. Благодаря Роману Михайловичу я теперь могу жевать, как прежде, до травмы. Я очень ему благодарна! \n\nПосещая клинику «Стоматолог и Я» я ни разу не вспомнила про свои детские страхи посещения врачей-стоматологов. На прием в клинику я прихожу, как своим добрым друзьям, всегда меня встречают улыбкой администраторы, предложат чай/кофе, поговорят, пошутят, успокоят, а врачи сделают всё для того, чтобы мы не стеснялись улыбаться.",positive
Пришли быстро всё очень достойного качества! Приятные на ощупь,positive
"Очень порадовал отель, стандартный номер двухкомнатный и большой, цена хорошая, всё чисто и аккуратно!",positive
"Высокое качество обслуживая, быстро и качественно обслужили автомобиль. Квалифицированные и вежливые специалисты. Гибкая система скидок. Буду обращаться еще.",positive
"Замечательный отель. Тихие, уютные номера. Вежливый персонал. Уборка в номерах на высоте. На завтрак на шведском столе можно найти много фруктов. \nИз пожеланий. \nБыло бы здорово разнообразить завтрак. Добавить одно постоянно меняющиеся горячее мясное блюдо, как это сделано в WB. Завтрак почти всегда одинаковый. Иногда меняются горячие овощные блюда. \nВ остальном всё супер! Спасибо всему персоналу за гостеприимство!)",positive
Хороший сервис грузчиков города Северск. быстро и качественно выполняют задачу,positive
"Платье просто супер!Очень понравилось,качество пошива на отлично.На ОГ 106 И ОБ 112 впритык.Длина чуть ниже колена при росте 164 см.Платье отслеживалось хорошо.Купила за 1047 рублей.Продавец молодец",positive
"Я получила отличную подготовку в автошколе, и теперь уверен в своих навыках вождения. Преподаватели в автошколе были очень профессиональными и терпеливыми. Повторяли информацию, которая с первого раза была сложной для восприятия. С полной уверенностью рекомендую данную автошколу.",positive
